prolific_id,age,Country of Birth,Current Country of Residence,Current UK area of residence,Employment Status,First Language,Hearing difficulties,Nationality,Sex,Student Status,tmf_core,tmf_would_like_to_be,tmf_interests_seen_as,tmf_attitudes_seen_as,tmf_behaviour_seen_as,tmf_appearance_seen_as,sex,gender_identity,gender_text,sex_orientation,orient_text,ethnicity,disability,community_sss,national_sss
6019f8c5abe00c1fd54f19d3,32,Nigeria,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Full-Time,English,No,Nigeria,Male,Yes,2.0,2.0,3.0,1.0,1.0,2.0,Male,Man,,Heterosexual (straight),,Black,No,6.0,6.0
60d1c82e42c14a1bfe66293c,31,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,4.0,5.0,Female,Woman,,Heterosexual (straight),,White,Yes,6.0,4.0
56235e19ed6e5a0011c80a7b,40,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Female,No,7.0,7.0,7.0,7.0,7.0,7.0,Female,Woman,,Heterosexual (straight),,White,No,5.0,5.0
615f4485ee8fcad69ef8d38b,38,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Male,No,3.0,3.0,2.0,2.0,2.0,2.0,Male,Man,,Heterosexual (straight),,White,No,6.0,6.0
5eede63f737c352242d67b5b,36,United Kingdom,United Kingdom,Wales,Full-Time,English,No,United Kingdom,Male,No,4.0,4.0,4.0,4.0,3.0,3.0,Male,Man,,Bisexual,,White,Yes,4.0,3.0
60fb323fd098c157e1e985ae,66,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,7.0,7.0,4.0,5.0,4.0,7.0,Female,Woman,,Heterosexual (straight),,White,No,7.0,7.0
5bd4f33c4b4f9e0001130cc5,24,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,Yes,2.0,2.0,1.0,1.0,1.0,2.0,Male,Man,,Heterosexual (straight),,Other,No,5.0,4.0
57c426fa9fe51d00012391f1,57,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,5.0,5.0,6.0,4.0,5.0,6.0,Female,Woman,,Heterosexual (straight),,White,Yes,4.0,5.0
5cab5974785bb400176d3380,52,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,4.0,5.0,Female,Woman,,Heterosexual (straight),,White,No,3.0,3.0
582ecbacc2e1310001685463,39,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Female,No,4.0,6.0,2.0,3.0,4.0,4.0,Female,Woman,,Heterosexual (straight),,White,No,4.0,4.0
5d5455f1182ac900014988fd,34,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,English,No,United Kingdom,Female,No,6.0,6.0,6.0,6.0,6.0,6.0,Female,Woman,,Homosexual (lesbian or gay),,White,No,6.0,6.0
5dbcab7226c04c250046cab5,40,United Kingdom,United Kingdom,Northern Ireland,Part-Time,English,No,United Kingdom,Female,Yes,5.0,5.0,5.0,5.0,5.0,5.0,Female,Woman,,Heterosexual (straight),,White,Yes,5.0,5.0
59664cebaf78da0001a22b4a,37,United Kingdom,United Kingdom,Scotland,Part-Time,English,No,United Kingdom,Female,DATA EXPIRED,7.0,7.0,7.0,7.0,7.0,7.0,Female,Woman,,Heterosexual (straight),,White,No,3.0,3.0
5c79211f477abb00168f7f72,55,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,6.0,6.0,6.0,6.0,7.0,7.0,I prefer not to answer,I prefer not to answer,,I prefer not to answer,,I prefer not to answer,No,6.0,6.0
5fbf5bb18fabf61b61f88006,21,United Kingdom,United Kingdom,Wales,Part-Time,English,No,United Kingdom,Male,Yes,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,5.0,4.0
5f11841e41278f0008ec17c1,54,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Male,No,1.0,1.0,3.0,3.0,2.0,1.0,Male,Man,,Heterosexual (straight),,I prefer not to answer,Yes,5.0,5.0
5e394c6546d3c11570e9f25d,40,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Full-Time,English,No,United Kingdom,Male,DATA EXPIRED,3.0,2.0,3.0,4.0,4.0,3.0,Male,Man,,Heterosexual (straight),,White,No,6.0,7.0
5ea026ebbc5a78011ea73ffb,78,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,No,1.0,1.0,2.0,2.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0
60183476ad6cff03e6cfe62a,35,United Kingdom,United Kingdom,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Part-Time,English,No,United Kingdom,Female,No,7.0,7.0,7.0,7.0,7.0,7.0,Female,Woman,,Heterosexual (straight),,White,No,7.0,8.0
5d29c671bc573b00165c9014,38,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Male,No,3.0,3.0,4.0,4.0,3.0,2.0,Male,Man,,Bisexual,,White,Yes,4.0,4.0
602fea460a29c4d98a5d8034,53,United Kingdom,United Kingdom,Scotland,Full-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,9.0,6.0
5ce15b0ea7b516001828c646,59,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,2.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,7.0,6.0
605273bcd0b9b4510724f3d7,32,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Female,No,3.0,5.0,4.0,6.0,3.0,4.0,Female,Woman,,Heterosexual (straight),,White,No,2.0,3.0
581ba6684182b600017306fa,42,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Full-Time,English,No,United Kingdom,Female,No,3.0,4.0,2.0,4.0,3.0,5.0,Female,Woman,,Bisexual,,White,No,4.0,4.0
5e89ba09ec9b3364b1fc0bd1,42,United States,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,Yes,3.0,3.0,2.0,3.0,3.0,1.0,Male,Man,,Bisexual,,White,No,4.0,4.0
5f0ebcdf13efbf091b37c4b4,29,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Unemployed (and job seeking),English,No,United Kingdom,Female,No,7.0,7.0,7.0,7.0,5.0,7.0,Female,Woman,,Heterosexual (straight),,White,Yes,7.0,6.0
5ea7e6404920c71db37018f8,43,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,No,2.0,2.0,2.0,2.0,2.0,1.0,Male,Man,,Heterosexual (straight),,White,Yes,5.0,3.0
5f383c7bbd56880ee4aff419,36,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,4.0,5.0,4.0,4.0,3.0,3.0,Female,Woman,,I prefer to self-describe as,demisexual,White,Yes,2.0,2.0
597e220e30b1d90001f5f14a,30,United Kingdom,United Kingdom,Scotland,Full-Time,English,No,United Kingdom,Female,No,4.0,6.0,6.0,5.0,5.0,4.0,Female,Woman,,Heterosexual (straight),,White,No,1.0,2.0
5c9c7cc072bf7f0017b6b798,40,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,English,No,United Kingdom,Male,No,2.0,2.0,2.0,2.0,2.0,2.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0
59f0eda5e75b450001a699a7,38,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Part-Time,English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,4.0,5.0,Female,Woman,,Heterosexual (straight),,White,No,6.0,6.0
5f0c40741fa6930438c1f19c,49,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,English,No,United Kingdom,Female,No,7.0,7.0,7.0,7.0,7.0,7.0,Female,Woman,,Heterosexual (straight),,White,No,8.0,8.0
5dcc6f91e5e18690a20e74d1,57,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Full-Time,English,No,United Kingdom,Female,No,6.0,6.0,5.0,6.0,6.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,8.0,7.0
611b69c8306de2b76ce73318,41,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Male,No,4.0,3.0,6.0,6.0,6.0,1.0,Male,Man,,Homosexual (lesbian or gay),,White,No,8.0,6.0
5a23e0f8391e270001a10195,52,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,6.0,7.0,5.0,6.0,6.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,6.0,4.0
5cb87813635b940017c2037a,55,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,6.0,6.0,5.0,6.0,6.0,7.0,Female,Woman,,Heterosexual (straight),,White,No,7.0,7.0
5d4b36bf137506001bb6b366,35,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Part-Time,English,No,United Kingdom,Female,Yes,6.0,6.0,5.0,4.0,5.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,6.0,7.0
6077dd4c0a8ff92267e84b6e,42,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,4.0,6.0,Female,I prefer to self-describe as,I don't have a gender identity.,Heterosexual (straight),,White,No,6.0,6.0
5fb3814f2ed467ac73fe19fd,41,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,English,No,United Kingdom,Male,No,2.0,2.0,3.0,3.0,3.0,2.0,Male,Man,,Heterosexual (straight),,White,No,4.0,3.0
5ea20fd571038c119083a8df,64,United Kingdom,United Kingdom,"London, England ",Other,English,No,United Kingdom,Female,No,7.0,7.0,5.0,6.0,6.0,7.0,Female,Woman,,Heterosexual (straight),,Black,No,8.0,8.0
5e77f6934ffe99364534227a,57,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Male,No,3.0,3.0,4.0,2.0,3.0,2.0,Male,Man,,Heterosexual (straight),,White,No,5.0,7.0
61572aeab6ac8a5fe94b43b4,63,Canada,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Other,English,No,United Kingdom,Male,No,4.0,3.0,2.0,2.0,4.0,3.0,Male,Man,,Homosexual (lesbian or gay),,White,Yes,7.0,7.0
5e27fdd75ade0ba21df12828,53,United Kingdom,United Kingdom,Wales,Full-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,6.0,5.0
5d48673efef71c0016d8bf40,68,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,Yes,2.0,3.0
5c37ac66bc6444000133b38e,25,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,English,No,United Kingdom,Female,No,7.0,7.0,7.0,7.0,7.0,7.0,Female,Woman,,I prefer not to answer,,I prefer not to answer,Yes,4.0,4.0
55d51a6b8ce09000127d4821,32,United Kingdom,United Kingdom,"London, England ",Full-Time,English,No,United Kingdom,Male,No,3.0,3.0,3.0,4.0,3.0,3.0,Male,Man,,Heterosexual (straight),,White,No,6.0,5.0
622a03d0bf48c972d851915a,59,United Kingdom,United Kingdom,Wales,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,5.0,6.0
5fc45894c518494211619c7e,35,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Unemployed (and job seeking),English,No,United Kingdom,Male,No,3.0,3.0,3.0,4.0,3.0,2.0,Male,Man,,Heterosexual (straight),,White,No,4.0,4.0
59d3958ed552520001fe6dfc,41,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Other,English,No,United Kingdom,Male,No,2.0,3.0,2.0,2.0,3.0,1.0,Male,Man,,Heterosexual (straight),,White,Yes,2.0,2.0
5c0b888b7bbde100010a8fd9,21,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,No,4.0,5.0,4.0,6.0,4.0,3.0,I prefer not to answer,Non-binary,,I prefer not to answer,,White,No,8.0,6.0
5c60501d767686000100150c,53,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",DATA EXPIRED,English,No,United Kingdom,Female,No,7.0,7.0,7.0,7.0,7.0,7.0,Female,Woman,,Heterosexual (straight),,White,No,3.0,5.0
5747ac9d5bef980010b0414b,52,United Kingdom,United Kingdom,Scotland,Full-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,5.0,5.0
56b78f11e77ebe000cbefe79,56,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Part-Time,English,No,United Kingdom,Female,No,7.0,7.0,4.0,5.0,4.0,7.0,Female,Woman,,Heterosexual (straight),,White,Yes,8.0,7.0
5f314ce90c431b614b338399,31,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Part-Time,English,No,United Kingdom,Male,No,2.0,2.0,3.0,3.0,3.0,2.0,Male,Man,,Heterosexual (straight),,White,No,5.0,4.0
60cdeff241a42f560409755c,39,United Kingdom,United Kingdom,Scotland,Full-Time,English,No,United Kingdom,Male,No,1.0,1.0,3.0,3.0,2.0,1.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0
5efe68ee28ca793693dcda80,37,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,5.0,7.0,Female,Woman,,Heterosexual (straight),,White,Yes,5.0,5.0
57d3d904f89a210001188e3a,52,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,5.0,4.0,Female,Woman,,Heterosexual (straight),,White,Yes,3.0,2.0
607aadfc954e1ae041cd3684,22,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Other,English,No,United Kingdom,Female,Yes,6.0,6.0,6.0,7.0,7.0,7.0,Female,Woman,,Bisexual,,White,No,7.0,4.0
5921c56653cb680001205679,32,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,3.0,3.0,3.0,7.0,Female,Woman,,Bisexual,,White,No,7.0,8.0
61471dc7b568462f804535ff,41,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Female,Yes,4.0,4.0,3.0,3.0,3.0,5.0,Female,Woman,,Heterosexual (straight),,White,No,5.0,2.0
6141f7a099e55e62d025435e,45,United Kingdom,United Kingdom,Scotland,Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,2.0,3.0,3.0,7.0,Female,Woman,,Bisexual,,White,No,5.0,5.0
611edf22772b0561875ad94a,57,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,English,No,United Kingdom,Female,No,6.0,6.0,6.0,5.0,6.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,6.0,5.0
5ccd8e2864da9300186d7dc1,27,United Kingdom,United Kingdom,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,6.0,4.0,5.0,5.0,Female,Woman,,Heterosexual (straight),,White,No,5.0,4.0
5ebbea369da72a018c463ed4,45,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Part-Time,English,No,United Kingdom,Female,No,5.0,5.0,3.0,3.0,5.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,6.0,6.0
5b7eda62ff1109000172ab7c,49,United Kingdom,United Kingdom,Scotland,Full-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,Yes,3.0,3.0
6124b55b1ec80fd5ac18a8ba,22,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Other,English,No,United Kingdom,Female,Yes,4.0,4.0,4.0,3.0,4.0,4.0,Female,Woman,,Heterosexual (straight),,Asian,No,6.0,6.0
59adc2278cef7d00011f89d6,49,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,English,No,United Kingdom,Female,No,6.0,6.0,4.0,6.0,7.0,7.0,Female,Woman,,Bisexual,,White,Yes,5.0,3.0
6058dba20257f28be1920c5c,48,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,English,No,United Kingdom,Female,No,6.0,6.0,4.0,5.0,4.0,6.0,Female,Woman,,Bisexual,,White,No,6.0,6.0
5e975a7a85549c0ac755a1bb,42,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,English,No,United Kingdom,Female,No,6.0,6.0,6.0,5.0,6.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,5.0,3.0
59cac1433306be000195bda5,48,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0
607a0b8de259e8a8b12eb17f,30,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Part-Time,English,No,United Kingdom,Female,No,6.0,6.0,4.0,5.0,5.0,7.0,Female,Woman,,Bisexual,,White,Yes,5.0,6.0
5c062cef891bb4000121c91c,54,United Kingdom,United Kingdom,"London, England ",DATA EXPIRED,English,No,United Kingdom,Male,No,2.0,1.0,1.0,3.0,3.0,3.0,Male,Man,,Heterosexual (straight),,White,Yes,9.0,9.0
6166ebc86f4c693bf7b3d18b,19,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Other,English,No,United Kingdom,Male,Yes,2.0,2.0,2.0,3.0,3.0,2.0,Male,Man,,Heterosexual (straight),,Asian,No,7.0,5.0
5c87a3364c1a610001556f1c,41,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,English,No,United Kingdom,Male,Yes,1.0,1.0,1.0,4.0,4.0,1.0,Male,Man,,Heterosexual (straight),,White,No,6.0,6.0
